"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.667015202317482,0.676792110883394,0.71135624094551,50000,0.95,0.412085803081457,0.905402337651736,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.362955166398967,0.354537013683684,0.327488066830923,50630.3,0.95,0.11274890754548,0.634510518622783,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.304060035918515,0.312254915280988,0.320965189452472,50000,0.95,-0.0749025334596734,0.658240747599944,0,93.734,NA,NA,NA,NA,NA
